dir,paket,status,version
a,alva,,
a,anaconda,,
a,android-studio,add,
b,bluefish,add,
c,chromium-browser,apt,
d,discord,,
g,gbilling-client  ,add,
g,gbilling-server  ,add,
g,gcolor3,add,
g,gdebi,add,
g,geany,add,
g,google-chrome-stable,add,
g,gravit,,
i,inkscape,add,
k,kbbi-qt,add,
k,kdenlive,,
m,maleo,add,
p,pinta,add,
p,postman,,
p,pycharm,add,
s,seed,add,
s,sexy-python,add,
s,steam,,
s,steam,,
s,sublime,,
t,teamviewer,add,
u,uget,add,
v,vala-panel,,
v,vctr,,
v,virtualbox,,
v,visual-studio-code,,
x,xampp,,
x,xtreme-download-manager,add,

